iter	Logloss
0	0.6828605535
1	0.6745224061
2	0.6643945709
3	0.6550031227
4	0.6455654285
5	0.6366707633
6	0.6289643101
7	0.6221348965
8	0.6139801381
9	0.6075844193
10	0.599711309
11	0.5931585899
12	0.5865637336
13	0.5804355504
14	0.575290414
15	0.5691520727
16	0.5635762324
17	0.5585336957
18	0.552964889
19	0.5476418752
20	0.5424969386
21	0.5382437072
22	0.5342235883
23	0.5297652955
24	0.5261137831
25	0.5222684131
26	0.5185151724
27	0.5147692971
28	0.5114550915
29	0.5081712482
30	0.5046457039
31	0.5015988796
32	0.498303295
33	0.4951675357
34	0.492415262
35	0.4901558975
36	0.4877092286
37	0.4845965252
38	0.4826044578
39	0.4801721571
40	0.4777474023
41	0.4754879469
42	0.4731227918
43	0.4707980825
44	0.4687807889
45	0.466792347
46	0.4648468727
47	0.4628170927
48	0.4608936697
49	0.4590506477
50	0.4572126269
51	0.4556028932
52	0.4543982968
53	0.4530399902
54	0.4513345206
55	0.449763082
56	0.4480728646
57	0.4465934036
58	0.4455390545
59	0.444210242
60	0.4426127109
61	0.4410512789
62	0.4397993153
63	0.4385698021
64	0.4374371194
65	0.4360727477
66	0.4349366335
67	0.4338142563
68	0.4330817458
69	0.4321304466
70	0.4310779043
71	0.4300977876
72	0.4287966918
73	0.4277798659
74	0.4264885371
75	0.425649247
76	0.4249491762
77	0.4237888973
78	0.4228054359
79	0.4217116194
80	0.4208852576
81	0.4196018637
82	0.4187700618
83	0.4180342584
84	0.4173063424
85	0.416592801
86	0.415737979
87	0.4150214902
88	0.4142683519
89	0.4135858989
90	0.4127386296
91	0.4118705955
92	0.4110669698
93	0.4102029782
94	0.4094769564
95	0.408816507
96	0.4079786627
97	0.4073718419
98	0.4067370833
99	0.4059763408
100	0.4053955545
101	0.4046356268
102	0.4042013283
103	0.403770926
104	0.4033198643
105	0.4030111826
106	0.4021622726
107	0.4015335621
108	0.4008701014
109	0.4003215361
110	0.3998496361
111	0.3993889045
112	0.3986506477
113	0.3979837024
114	0.3975180115
115	0.3971227288
116	0.3965235071
117	0.3960240842
118	0.3955604757
119	0.3951090171
120	0.3946377026
121	0.3941327529
122	0.3934777004
123	0.3931256924
124	0.3928589271
125	0.3922769358
126	0.3918986883
127	0.3913051256
128	0.3907556504
129	0.3902286545
130	0.3897222185
131	0.3892952187
132	0.3888051304
133	0.3884105736
134	0.388006752
135	0.3875727028
136	0.3872330637
137	0.3866324228
138	0.3862612918
139	0.3858023683
140	0.3854152226
141	0.3851474666
142	0.384533295
143	0.3842312971
144	0.3838354534
145	0.3834974861
146	0.3830239685
147	0.3824512823
148	0.3819867526
149	0.3814064666
150	0.3810388952
151	0.3806432345
152	0.3802623112
153	0.3798577455
154	0.3795255719
155	0.379114861
156	0.3787222668
157	0.3783551826
158	0.3781056225
159	0.3777917119
160	0.3775310258
161	0.3770986985
162	0.3767603982
163	0.3764630672
164	0.37615731
165	0.3757431636
166	0.3754831613
167	0.3752705936
168	0.3751021169
169	0.3747960459
170	0.3743989109
171	0.3740839454
172	0.3736184378
173	0.3732422671
174	0.3728558923
175	0.3724579004
176	0.3721459328
177	0.3719485848
178	0.3716157369
179	0.3712313667
180	0.3707647081
181	0.3703356025
182	0.3699572312
183	0.3695290338
184	0.3692293417
185	0.3689886584
186	0.3687373258
187	0.3683303627
188	0.3678894375
189	0.3676491667
190	0.3673289496
191	0.3668781241
192	0.3665578096
193	0.3663000008
194	0.3659908107
195	0.3657219842
196	0.365409362
197	0.3650744714
198	0.3647656098
199	0.3644780715
200	0.3641643614
201	0.3637568442
202	0.3634860739
203	0.3632756827
204	0.3629957639
205	0.3626970249
206	0.3624396367
207	0.3622787857
208	0.3620977682
209	0.3618114407
210	0.3615224769
211	0.3612547751
212	0.3609471131
213	0.3606219398
214	0.360340926
215	0.3600856122
216	0.3597988406
217	0.3596063004
218	0.3593483131
219	0.3590768136
220	0.358733006
221	0.3584598475
222	0.3582404687
223	0.3578543077
224	0.3576618236
225	0.3572835868
226	0.3571174697
227	0.3567849594
228	0.3564163669
229	0.3562197573
230	0.3558565017
231	0.3555298632
232	0.3553377646
233	0.3551960451
234	0.355058874
235	0.3548159162
236	0.3545295422
237	0.3541668152
238	0.3539281142
239	0.3535948288
240	0.3532817699
241	0.35293847
242	0.3526316681
243	0.3523552136
244	0.3520928029
245	0.3519572413
246	0.3517693926
247	0.3514294179
248	0.3512008927
249	0.3509220697
250	0.3506088936
251	0.3503848054
252	0.3500785489
253	0.3498781705
254	0.3496160475
255	0.3493933523
256	0.349088228
257	0.3487878598
258	0.3484944091
259	0.3482296358
260	0.3478477522
261	0.3476109389
262	0.3473176699
263	0.3470335391
264	0.3468257502
265	0.3465541563
266	0.346378704
267	0.3461463359
268	0.3458904455
269	0.3455575914
270	0.3452832692
271	0.3451509062
272	0.3448921108
273	0.3446877944
274	0.3443878283
275	0.3441681087
276	0.3439879398
277	0.3437385287
278	0.3434540291
279	0.3432757806
280	0.3430834214
281	0.3428209214
282	0.3424561477
283	0.3422908797
284	0.3419681903
285	0.3416490878
286	0.341491556
287	0.3411855655
288	0.3410293067
289	0.3408126475
290	0.3406154321
291	0.3403965423
292	0.3401618025
293	0.3398860262
294	0.3395219508
295	0.3393152932
296	0.3389929638
297	0.3386696881
298	0.3383591651
299	0.3381238381
300	0.3379773592
301	0.3376843229
302	0.3375403637
303	0.3373758369
304	0.3371147123
305	0.3368091585
306	0.3366422346
307	0.3364432023
308	0.3361338937
309	0.3358749265
310	0.3356450953
311	0.3354801457
312	0.3352977195
313	0.3351279794
314	0.3348605151
315	0.3346421283
316	0.3344457532
317	0.334252781
318	0.333940068
319	0.3336743541
320	0.3334217642
321	0.3331749977
322	0.3328512544
323	0.3326678493
324	0.3324651643
325	0.3322702743
326	0.3320860153
327	0.3318915667
328	0.3316763872
329	0.3314749735
330	0.3312282076
331	0.330944431
332	0.3307637993
333	0.3304670319
334	0.3301918029
335	0.3299911793
336	0.3297238405
337	0.3295224874
338	0.3291730461
339	0.3289267019
340	0.3287036335
341	0.3286296395
342	0.3283554099
343	0.3280861889
344	0.3278805479
345	0.3276635214
346	0.3274830839
347	0.3272845487
348	0.3270932281
349	0.3268001483
350	0.32652516
351	0.3262441483
352	0.325993757
353	0.3257362141
354	0.325576009
355	0.3252698826
356	0.3250086961
357	0.3248251729
358	0.3245389518
359	0.3242963056
360	0.3241099903
361	0.3239466372
362	0.3237747151
363	0.3235122521
364	0.3232990679
365	0.3230404882
366	0.3227990152
367	0.3226154557
368	0.3224112529
369	0.3222113908
370	0.322025346
371	0.3218337504
372	0.3216582428
373	0.321454113
374	0.3211795444
375	0.3209619039
376	0.3207982182
377	0.3206623195
378	0.3204833107
379	0.3202951853
380	0.3200393426
381	0.319796978
382	0.3196044473
383	0.3194322025
384	0.3191711555
385	0.3189496888
386	0.3187566847
387	0.3185870032
388	0.318407122
389	0.3182405641
390	0.3180273545
391	0.31784807
392	0.3176429469
393	0.317390183
394	0.3171659326
395	0.316925501
396	0.3167408732
397	0.3165229449
398	0.3162827346
399	0.3160142032
400	0.3158640476
401	0.3156473503
402	0.3154441348
403	0.3151888349
404	0.314837714
405	0.3146157418
406	0.3142562601
407	0.3140496998
408	0.3138408951
409	0.3137022195
410	0.3134973282
411	0.3132409762
412	0.3130910896
413	0.3129126019
414	0.312745406
415	0.3125210469
416	0.3122984563
417	0.3120826774
418	0.3118357984
419	0.3115628492
420	0.3114162571
421	0.3111723389
422	0.3108557569
423	0.3106159432
424	0.3104329971
425	0.3102586497
426	0.3100577149
427	0.3097692823
428	0.3095812427
429	0.3093058086
430	0.3091709981
431	0.3089789515
432	0.3087776354
433	0.3085113426
434	0.3083328055
435	0.3080431124
436	0.307837831
437	0.3076446751
438	0.3074489197
439	0.3072699236
440	0.3070586762
441	0.3068807921
442	0.3066795794
443	0.3064447383
444	0.3062397402
445	0.3059586924
446	0.3057810907
447	0.3056154968
448	0.3054004891
449	0.3051654798
450	0.3049711587
451	0.3047347727
452	0.3044661269
453	0.3043124158
454	0.3041345173
455	0.3039158623
456	0.3036775096
457	0.3033769309
458	0.3030820336
459	0.3028984875
460	0.3026872004
461	0.3025275276
462	0.3023498623
463	0.302118354
464	0.3019433982
465	0.3017478143
466	0.301496222
467	0.3013081748
468	0.3011026372
469	0.3009199366
470	0.3006610214
471	0.3004821478
472	0.3002540744
473	0.3000720465
474	0.2998387421
475	0.2996510834
476	0.2994358115
477	0.2990959566
478	0.2988705186
479	0.2986971753
480	0.2985674609
481	0.2983897386
482	0.29820274
483	0.2979834958
484	0.2977260631
485	0.2974783038
486	0.2973110621
487	0.2970554424
488	0.2967667179
489	0.2965862686
490	0.296406377
491	0.2962137345
492	0.2959433949
493	0.2956960386
494	0.2954908075
495	0.2952627821
496	0.2949574098
497	0.2947597818
498	0.2945332096
499	0.2942531925
500	0.2940350554
501	0.2937907836
502	0.2934804375
503	0.2932415977
504	0.2930415073
505	0.2928506815
506	0.2925655671
507	0.2923832684
508	0.2921609457
509	0.2919298279
510	0.2917224449
511	0.2914402177
512	0.2912135522
513	0.2909831821
514	0.2907212592
515	0.2905765591
516	0.2904224072
517	0.2901639875
518	0.2899500801
519	0.2896947535
520	0.2895154119
521	0.2892925951
522	0.2890908518
523	0.288955769
524	0.2887272936
525	0.2885315406
526	0.2882033542
527	0.2879650969
528	0.2876983375
529	0.2874658282
530	0.2872278715
531	0.2870784006
532	0.2868523459
533	0.2866954922
534	0.2863791812
535	0.2862487529
536	0.2859610451
537	0.2857309751
538	0.285546933
539	0.2852463971
540	0.2850949096
541	0.2848427445
542	0.2846898912
543	0.2844373825
544	0.2842571019
545	0.2840222009
546	0.283742016
547	0.2835626476
548	0.2833451724
549	0.2831300231
550	0.2828892739
551	0.2826672043
552	0.2824797353
553	0.2822168059
554	0.2819599396
555	0.2817790327
556	0.281560328
557	0.2812971707
558	0.2811482557
559	0.2808999584
560	0.2807309167
561	0.2804858561
562	0.2802054917
563	0.2800203514
564	0.2797967257
565	0.2794279958
566	0.2792550599
567	0.2789983635
568	0.278777338
569	0.2785790384
570	0.2783187763
571	0.2780745349
572	0.2779335809
573	0.2777364101
574	0.2775533749
575	0.2772705979
576	0.2770054245
577	0.2768024578
578	0.2764335205
579	0.2762267144
580	0.2759698735
581	0.2756814951
582	0.2754050558
583	0.2751965618
584	0.2749571711
585	0.2747264709
586	0.2745024692
587	0.2742555057
588	0.2740306922
589	0.273785294
590	0.2734396058
591	0.2732918891
592	0.2730938497
593	0.272932461
594	0.2726782658
595	0.2724928108
596	0.2722980576
597	0.2720777726
598	0.271844735
599	0.2715799705
600	0.2713868393
601	0.2711368097
602	0.2709023505
603	0.2706500235
604	0.2703411997
605	0.2702177643
606	0.2699673475
607	0.2696993823
608	0.269505194
609	0.2692989484
610	0.2690552249
611	0.2688397834
612	0.2685711741
613	0.2683460032
614	0.2681226743
615	0.2679058028
616	0.2677491467
617	0.2675615073
618	0.2673676081
619	0.2671368924
620	0.2668209134
621	0.2664896763
622	0.2662370771
623	0.2660664213
624	0.2658775432
625	0.2657035505
626	0.2655097656
627	0.2652927826
628	0.2650558057
629	0.2648849254
630	0.2646280223
631	0.2643959049
632	0.2641889421
633	0.2639676674
634	0.2637412816
635	0.2635735892
636	0.2632621884
637	0.2630518872
638	0.2628426864
639	0.2625262131
640	0.2623267554
641	0.2620823608
642	0.2619408463
643	0.2616688308
644	0.2614531198
645	0.2611958135
646	0.2610277421
647	0.2608350227
648	0.2606594025
649	0.2604710505
650	0.2602737873
651	0.2601380164
652	0.2600067698
653	0.2597275345
654	0.2594349849
655	0.2593299598
656	0.2590703327
657	0.2589299078
658	0.2587992356
659	0.2585934906
660	0.2584322478
661	0.2581890207
662	0.2580591312
663	0.25789324
664	0.2576826663
665	0.2573530094
666	0.2571877298
667	0.2569371613
668	0.256755223
669	0.2564846732
670	0.2562862004
671	0.2559875975
672	0.2557739486
673	0.2554934089
674	0.2553147003
675	0.2551815646
676	0.255057183
677	0.2548933888
678	0.2546939669
679	0.2545670755
680	0.2544065392
681	0.2541550258
682	0.2540061196
683	0.2537583951
684	0.2536143795
685	0.2534547904
686	0.253174156
687	0.2529591921
688	0.2527629408
689	0.2525675982
690	0.2523071769
691	0.2521515229
692	0.2519818864
693	0.2518120507
694	0.2516533941
695	0.2515122611
696	0.2513396387
697	0.2512005853
698	0.2509885245
699	0.2508448717
700	0.2506199245
701	0.2504644381
702	0.2502355299
703	0.2501118532
704	0.2498966982
705	0.2496789213
706	0.2494870098
707	0.2493239731
708	0.2491169668
709	0.2490239404
710	0.2487196735
711	0.2485844063
712	0.2484287244
713	0.2482691212
714	0.2480484205
715	0.2478397217
716	0.2475380944
717	0.2473426107
718	0.2472149677
719	0.2470983741
720	0.2469508949
721	0.2467230016
722	0.2465721342
723	0.2464349908
724	0.2462633264
725	0.2461051428
726	0.2459161346
727	0.2457785316
728	0.2456564168
729	0.2454757017
730	0.2453287755
731	0.2451783715
732	0.245031671
733	0.2448902315
734	0.2447761857
735	0.2445751913
736	0.2444249468
737	0.2442289357
738	0.2439465819
739	0.2437662399
740	0.2436080103
741	0.2433754114
742	0.2432091377
743	0.2429756154
744	0.242793272
745	0.2426742945
746	0.2425031723
747	0.2422495979
748	0.2419651643
749	0.2417725042
750	0.2416179515
751	0.2413494676
752	0.2412365178
753	0.2410508486
754	0.2408872829
755	0.2406086049
756	0.2404274668
757	0.2401903459
758	0.2400082279
759	0.2398307986
760	0.2396427345
761	0.2394239372
762	0.2392791724
763	0.2390856062
764	0.2389070657
765	0.238686
766	0.2384999184
767	0.2382881768
768	0.2381427092
769	0.2379795797
770	0.2377595045
771	0.2375510126
772	0.237336419
773	0.2371642761
774	0.2369600686
775	0.2368150868
776	0.236679401
777	0.2365580992
778	0.2363688517
779	0.2362491474
780	0.2360221583
781	0.2359139503
782	0.2357466261
783	0.2355522212
784	0.2353365573
785	0.2351986292
786	0.2349838359
787	0.2347295734
788	0.2345260677
789	0.23432303
790	0.2340808114
791	0.2338465668
792	0.2336340178
793	0.2334390872
794	0.2332650896
795	0.2330140194
796	0.2328373222
797	0.2327084133
798	0.2325342415
799	0.2322909205
800	0.2321408364
801	0.2319539346
802	0.2317879005
803	0.231619975
804	0.2314677641
805	0.2313057818
806	0.2311619223
807	0.2308582516
808	0.2307067423
809	0.2305030842
810	0.2303242382
811	0.2301353902
812	0.2299386572
813	0.2297810996
814	0.229629273
815	0.2294882199
816	0.2293849117
817	0.2292232596
818	0.2291250093
819	0.2289594899
820	0.2287898901
821	0.2286912144
822	0.2285164544
823	0.2283574552
824	0.2281113374
825	0.2278629041
826	0.2276416136
827	0.2274530561
828	0.2272797422
829	0.2270500954
