iter	Passed	Remaining
352	1688	3094
353	1691	3086
354	1695	3080
355	1698	3073
356	1702	3066
357	1705	3059
358	1710	3053
359	1713	3046
360	1717	3040
361	1721	3034
362	1725	3028
363	1728	3020
364	1731	3012
365	1735	3006
366	1739	2999
367	1742	2992
368	1745	2984
369	1747	2976
370	1752	2971
371	1755	2963
372	1758	2956
373	1761	2948
374	1765	2941
375	1769	2935
376	1772	2928
377	1775	2920
378	1778	2913
379	1781	2907
380	1785	2900
381	1788	2893
382	1792	2887
383	1795	2880
384	1799	2875
385	1803	2868
386	1806	2861
387	1809	2853
388	1812	2846
389	1817	2842
390	1821	2836
391	1824	2830
392	1828	2823
393	1832	2817
394	1835	2811
395	1838	2804
396	1841	2797
397	1844	2789
398	1849	2786
399	1853	2780
400	1857	2774
401	1860	2767
402	1864	2762
403	1867	2755
404	1870	2748
405	1874	2741
406	1877	2734
407	1881	2729
408	1884	2722
409	1887	2716
410	1890	2709
411	1893	2702
412	1898	2697
413	1901	2691
414	1904	2684
415	1907	2677
416	1911	2672
417	1915	2666
418	1918	2660
419	1921	2653
